Nickname,Mineral,MemberID,PrevRank,IsFirst
고사리손,150000000,,,True
시도새,130000000,,,True
쥬끼리,80000000,,,True
데표님,75000000,,,True
규빈아,65000000,,,True
한량사냥꾼,65000000,,,True
이솔,60000000,,,True
레종미니미,60000000,,,True
결산풀시청,55000000,,,True
일텐,50000000,,,True
징용,45000000,,,True
빈아야,40000000,,,True
쌈바와함께춤을,40000000,,,True
JUP카우터,40000000,,,True
하늘필름,30000000,,,True
쥬샛수,30000000,,,True
시백조승새우,30000000,,,True
s최강두산s,30000000,,,True
슈퍼백승우,30000000,,,True
s새짱s,25000000,,,True
JSA,25000000,,,True
쟈니난쟈닌,25000000,,,True
히야로,25000000,,,True
효창빌라,25000000,,,True
훌도님,25000000,,,True
ㄱㄱㅇㅇ,25000000,,,True
[행복한]쌈바,25000000,,,True
쌈,25000000,,,True
닌쟈닌,23000000,,,True
백조,20000000,,,True
팅톡팅톡,20000000,,,True
Oo중장비oO,20000000,,,True
s$$s,20000000,,,True
JUP,20000000,,,True
플라이,20000000,,,True
옥아가,20000000,,,True
키뇨,20000000,,,True
백석마의,20000000,,,True
불오크,20000000,,,True
s씨조새s,15000000,,,True
dew,15000000,,,True
줍분석,15000000,,,True
타마양,15000000,,,True
skipper123321,10000000,,,True
MAGENTA,10000000,,,True
구키씨믿어요,10000000,,,True
구랭이s,10000000,,,True
ㅈ새,10000000,,,True
강남시장,10000000,,,True
tommy_july,10000000,,,True
